doc_id,chunk_id,char_start,text,chunk_quality_bin,doc_quality_bin
11178,0,0,"Il giorno 16 giugno 2010 a Milano, Anicta e UGL Chimici si sono incontrate per
esaminare la richiesta della UGL Chimici di sottoscrivere per adesione il verbale di
accordo 27 maggio 2010, a rinnovo del ccnl10 maggio 2006 - 12 luglio 2006.
In esito a tale incontro, Anicta ha manifestato la propria disponibilità ad accogliere la
richiesta della UGL Chimici.
UGL CHIMICI
~',t2f~'
~",severe,severe
7702,0,0,"Il giorno 16 giugno 2010 a Milano, Anicta e UGL Chimici si sono incontrate per
esaminare la richiesta della UGL Chimici di sottoscrivere per adesione il verbale di
accordo 27 maggio 2010, a rinnovo del ccnl10 maggio 2006 - 12 luglio 2006.
In esito a tale incontro, Anicta ha manifestato la propria disponibilità ad accogliere la
richiesta della UGL Chimici.
UGL CHIMICI
~',t2f~'
~",severe,severe
12928,2,4005,"Ss

La Delegazione dell’Amministrazione stipula il presente accordo per conto del
Direttore Generale con riserva di sottoporlo al Governatore, il quale lo valuterà in sede di Consiglio

Superiore affinchè l'accordo stesso sia approvato o respinto nel suo complesso.

PER L’AMMINISTRAZIONE PERLA FALBI

Vietti Pa

UU he oh

bndl Co G ma

PER LA FIBA-CISL

o ierii",severe,clean
20984,2,3829,"Agibilità e locali
L’Azienda mette a disposizione una bacheca sindacale e locali idonei per le riunioni
sindacali.

4.

Assemblee
Le assemblee si svolgono ai sensi dell’art.

20 L.

300/1970, con preavviso di [ ] ore.

5.

Permessi retribuiti
Ai dirigenti RSA spettano i permessi retribuiti ex art.

23 L.

300/1970.

6.

Trattenuta contributi
L’Azienda attiva la trattenuta del contributo sindacale su richiesta scritta del lavoratore.

7.

Canali di comunicazione
Si concorda un canale e-mail dedicato e, ove disponibile, uno spazio intranet.

8.

Tutela dati
Il trattamento dei dati personali avviene nel rispetto del Regolamento (UE) 2016/679.

9.

Durata
L’Accordo è valido fino a diversa pattuizione o sostituzione della RSA.

Letto, confermato e sottoscritto in data [gg/mm/aaaa].

Per l’Azienda ____________________________
Per la RSA Confintesa ____________________________
Per Confintesa ____________________________
Allegato 2 – Verbale di costituzione RSA (modello)
In data [gg/mm/aaaa], presso l’unità produttiva di [Azienda – Sede], i lavoratori iscritti a
Confintesa costituiscono la Rappresentanza Sindacale Aziendale (RSA) ai sensi dell’art.

19 L.

300/1970.

Componenti RSA:
1) [Nome Cognome]
2) [Nome Cognome]
3) [Nome Cognome]
Dirigente RSA: [Nome Cognome] (ai sensi dell’art.

23 L.

300/1970).

Si chiede all’Azienda: bacheca sindacale; locali idonei; trattenuta contributi su richiesta
dei lavoratori; permessi retribuiti per i dirigenti RSA; canali di comunicazione previsti
dall’Accordo aziendale-tipo.

Il presente verbale è trasmesso a:
• Azienda [Ragione sociale] – [PEC]
• Confintesa– [Struttura territoriale/regionale] – [indirizzo/PEC]
Firme dei lavoratori costituenti:
1) ____________________________
2) ____________________________
3) ____________________________
4) ____________________________
5) ____________________________
Firma del Dirigente RSA: ____________________________",severe,noisy
19369,59,106858,15 LUGLIO 1986                                                   LEGGE 1962/230                                                   LEGGE 1984/863                                                   LEGGE 1977/54                                                   LEGGE 1986/38                                                   LEGGE 1990/108,severe,clean
4193,1,1998,"-	dopo il comma 5) aggiungere il seguente:

“5 bis)
Il Fondo “Mario Negri”, ai fini di previdenza complementare, accoglie separatamente il TFR comunque conferito.”

-	al comma 6), dopo le parole “______ commi precedenti” aggiungere le 	parole “e il TFR conferito”.

ASSOLOGISTICA
Nereo Paolo Marcucci

MANAGERITALIA
Claudio Pasini

Milano, 20 febbraio 2007

PAGE",severe,clean
19338,24,42647,"alle stesse attività e mansioni nel rispetto del limite massimo di durata prevista
per l’apprendistato professionalizzante.",severe,clean
9505,0,0,"Il giorno 16 giugno 2010 a Milano, Anicta e UGL Chimici si sono incontrate per
esaminare la richiesta della UGL Chimici di sottoscrivere per adesione il verbale di
accordo 27 maggio 2010, a rinnovo del ccnl10 maggio 2006 - 12 luglio 2006.
In esito a tale incontro, Anicta ha manifestato la propria disponibilità ad accogliere la
richiesta della UGL Chimici.
UGL CHIMICI
~',t2f~'
~",severe,severe
17818,8,14002,"15.000
29,450 | 27.400 | 21.650 | 22.600 | 20.900 | 29.450 | 17.950 || 24.550 | 23,450 | 22.000 | 19.400 | 17.700 | 16.800 | 14.700
28,450 | 26.00 | 24.100 | 22.300 | 20.500 | 19.050 | 17.000 || 24.050 | 22,950 | 21.500 | 19.000 | 17.350 | 16.450 | 14.400
25.100 | 27.750 | 24.950 | 23.100°| 21.200 | 19.700 | 17.600 Îl 24.900 | 23.750 |‘22.250 | 19.650 | 17.900 | 17.000 | 14.900
27.200 | 25.650 | 23.050 | 71.350 | 19,600 | 18.200 | 16.250 || 23.000 | 22.000 | 20.600 | 18.200 | 16.600 | 15.250 | 13.000
27.400 | 25.850 | 23.250 | 21.500 | 19.750 | 18.350 | 16.400 || 23.200 | 22.150 | 20.750 | 16.300 | 16,700 | 16.050 | 18.900
26.450 | 24.950 | 22.450 | 20.250 | 19.100 | 17.250 | 15.800 || 22.300 | 21.300 | 19.950 | 17.600 | 16.050 |-15.250 | 19.350
25.990 | 24.950 | 21.900 | 20.250 | 10.600 | 17.300 | 15.450 (| 21.600 | 20.600 | 19.300 | 17.050 | 15.550 | 14.750 | 12.950
24.600 | 23,200 | 20.900 | 19.300 | 17.250 | 16.500 | 14.700 || 20.500 | 19.600 | 18.350 | 16.200 | 14.800 | 14.050 | 12.300",severe,noisy
6789,31,48438,"Il trattamento economicoper assenze per malattia od infortunio sono quelli previsti dalla specifichenorme di legge, nessuna integrazione  prevista dal datore di lavoro.La formazione teorica e tecnico pratica deve avere una durata  minima  di 40ore per i livelli III e IV di 50 ore per i restanti livelli.L'iter formativo dovr svilupparsi secondo lo schema allegato ed il progettosar  accompagnato  da  dichiarazione  d'impegno, al  rispetto  del presentecontratto e delle norme di  legge in  materia del lavoro  e  della sicurezzasociale.All'atto della richiesta del nullaosta l'azienda dovr allegare un attestatodal quale risulti l'iscrizione dell'azienda stessa alla UCICT.Articolo 4Resta salva in alternativa per le aziende che intendono assumere giovani concontratti di formazione e lavoro,  la possibilit di rivolgersi direttamentealla Commissione Regionale per l'impiego, avvalendosi delle procedure di cuialla legge 863/84.Le parti s'impegnano ad incontrarsi ogni qualvolta la disciplina legislativadel contratto di formazione e lavoro subisca modifiche.Timbro dell'Azienda ___________________                                         ___________________________ l_______________________                      Spett.le ____________________________________________                               ____________________________________________                               ____________________________________________OGGETTO: Progetto  di  formazione  e  lavoro  ai  sensi  dell'art.

3, Legge         863/1984.___ l___ sottoscritt __  ____________________________________________ nella sua qualit di ____________________________________________________________della Ditta/Societ _______________________________________________________sita in ___________________________________________________________________Prov.",severe,noisy
