id_accordo,ccnl_code,titolo,txt_path,char_count,garbage_ratio,quality_bin
13108,S111,CCNL dei segretari comunali e provinciali biennio economico 2008-2009,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Ipotesi di accordo sull'interpretazione autentica dell'articolo 31 del CCNL dei segretari comunali e provinciali del 1652001 (S111).txt,6560,0.0063,clean
7643,J267,BANCARI: Banca D'Italia - carriera Operativa,"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo cornice in tema di contrattualizzazione del rapporto di impiego del personale della carriera operativa, dei servizi generali e di sicurezza e  (J267).txt",4369,0.0048,clean
20129,H526,"Accordo consensuale di disdetta dal CCNL per i dipendenti da aziende artigiane di parrucchieri, barbieri ed estetisti","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo consensuale di disdetta dal CCNL per i dipendenti da aziende artigiane di parrucchieri, barbieri ed estetisti (H526).txt",1603,0.0006,clean
9944,F01D,Accordo di rinnovo della perte economica del CCNL per i soci e dipendenti delle Cooperative del settore EDILE ed affini stipulato il 6/12/2006,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo della perte economica del CCNL per i soci e dipendenti delle Cooperative del settore EDILE ed affini stipulato il 6122006 (F01D).txt,5068,0.0018,clean
20271,H058,Accordo di rinnovo del CCNL Turismo 4 marzo 2010,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di correzione e integrazione dei testi siglati il 18 luglio 2018 (H058).txt,4771,0.0067,clean
18653,G121,Avviso comune del 26/3/2009,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Avviso comune del 2632009 (G121).txt,1234,0.0089,clean
19907,H011,Protocollo straordinario di settore,"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo CCNL Terziario, Distribuzione e Servizi (H011).txt",5553,0.0058,clean
15015,HV22,Adesione di CEPI-UCI al CCNL Guardiania e Portierato,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Adesione di CEPI-UCI al CCNL Guardiania e Portierato (HV22).txt,1317,0.003,clean
18798,H44E,Accordo consensuale di disdetta dal CCNL per i dipendenti degli Studi professionali,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo consensuale di disdetta dal CCNL per i dipendenti degli Studi professionali (H44E).txt,2564,0.0055,clean
18718,V511,CCNL per i dipendenti degli Istituti per il sostentamento del Clero,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo biennale del CCNL1532007 per i dipendenti degli Istituti per il sostentamento del Clero (V511).txt,4279,0.0026,clean
19558,V719,Verbale di accordo sul rinnovo del CCNL Servizi Ausiliari del 21/11/2017,"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo interconfederale welfare aziendale e premi di risultato CCNL Servizi Ausiliari alle Collettività, alle Aziende e alle Persone (V719).txt",4448,0.0117,clean
7073,T011,SANITA': Personale non medico area privata,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo economico biennio 2006-2007 (T011).txt,3130,0.0019,clean
19287,HV4A,Accordo modificativo del CCNL per i dipendenti degli istituti investigativi privati e delle agenzie di sicurezza sussidiaria o complementare,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo integrativo del CCNL per i dipendenti degli istituti investigativi privati e delle agenzie di sicurezza sussidiaria o complementare (HV4A).txt,4184,0.0014,clean
16664,HV22,Verbale di accordo per il rinnovo del CCNL addetti Guardiania e Portierato,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Adesione di CEPI-UCI al CCNL Guardiania e Portierato (HV22).txt,1317,0.003,clean
20452,T279,Verbale di accordo integrativo al CCNL FIDEF 2022-2025,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo integrativo del CCNL FIDEF 2022-2025 (T279).txt,2989,0.0003,clean
20977,V719,Verbale di accordo sul rinnovo del CCNL Servizi Ausiliari Integrati del 29/10/2021,"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo interconfederale welfare aziendale e premi di risultato CCNL Servizi Ausiliari alle Collettività, alle Aziende e alle Persone (V719).txt",4448,0.0117,clean
17802,T271,CCNL per il personale occupato nei servizi dell'infanzia e della prima infanzia delle scuole e degli enti aderenti e/o rappresentati dalla FISM,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo integrativo dell'accordo ponte 22 maggio 2012 relativo al CCNL FISM in vigore (T271).txt,1458,0.0055,clean
12935,J257,Accordo in tema di copertura delle spese sanitarie per il personale della Banca d'Italia,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo cornice in tema di contrattualizzazione del rapporto di impiego del personale della carriera direttiva (J257).txt,3884,0.0054,clean
7639,J267,BANCARI: Banca D'Italia - carriera Operativa,"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo cornice in tema di contrattualizzazione del rapporto di impiego del personale della carriera operativa, dei servizi generali e di sicurezza e  (J267).txt",4369,0.0048,clean
8520,T191,SERVIZI ASSISTENZIALI: Personale FENASCOP,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo per il rinnovo del CCNL 200609 FENASCOP biennio economico 200607 (T191).txt,3918,0.0008,clean
18322,B254,CCNL per gli addetti all'Industria dell'Energia e del Petrolio,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Rinnovo biennale parte economica CCNL Energia e Petrolio 14 marzo 2002 (B254).txt,2493,0.0036,clean
17278,G111,CCNL 15 novembre 1965 per gli impiegati e gli operai dipendenti da aziende esercenti lo sviluppo e la  stampa di pellicole cinematografiche,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo per l'applicazione del CCNL 7 marzo 2005 ai lavoratori dipendenti delle aziende aderenti alla FEAC (G111).txt,1988,0.0075,clean
9410,T151,CCNL Cooperative sociali,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di impegno fra le parti firmatarie del rinnovo del CCNL per le lavoratrici e i lavoratori delle cooperative del settore socio-sanitario assist (T151).txt,3888,0.0018,clean
19421,T19D,"CCNL per Dirigenti, Quadri, Impiegati e Operai dipendenti di Enti, Imprese e Cooperative Sociali del Terzo Settore, Sport e altri Enti senza scopo di lucro",/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo per la disciplina del lavoro agile (T19D).txt,4910,0.011,clean
19082,H024,Verbale di incontro sindacale per Rinnovo del CCNL Commercio del 28 dicembre 2016,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo per la disciplina del lavoro agile (H024).txt,4910,0.011,clean
19296,B122,"Ipotesi di accordo per il rinnovo del CCNL 16/11/2016 per gli addetti all'industria delle piastrelle di ceramica, dei materiali refrattari, ceramica sanitaria, di porcellane e ceramiche per uso domestico e ornamentale, di ceramica tecnica, di tubi in gres",/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 2212008 per le imprese dei settori CERAMICA e per i lavoratori dalle stesse dipendenti (B122).txt,3331,0.0063,clean
6044,K451,TURISMO (AZIENDE FEDERTURISMO),/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Protocollo di intesa Turismo Confindustria (K451).txt,3792,0.0055,clean
8994,H058,Ipotesi di accordo per il rinnovo del CCNL turismo,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di correzione e integrazione dei testi siglati il 18 luglio 2018 (H058).txt,4771,0.0067,clean
18771,V925,"CCNL per i lavoratori dipendenti delle Organizzazioni Sindacali Nazionali e Territoriali, di rappresentanza e di categoria delle Associazioni anche di settore e degli Enti loro partecipati, promossi e collegati","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Verbale integrativo del CCNL per i lavoratori dipendenti delle Organizzazioni Sindacali Nazionali e Territoriali, di rappresentanza e di categoria del (V925).txt",3166,0.0054,clean
7690,K700,ENTE POSTE ITALIANE,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Avviso comune in materia di contratti a tempo determinato (K700).txt,5297,0.0083,clean
20488,H03N,"Ipotesi di accordo di rinnovo del CCNL per i lavoratori dipendenti delle imprese di Commercio, Terziario, Distribuzione, Servizi, Pubblici Esercizi e Turismo",/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di adesione ai CCNL da valere su tutto il territorio nazionale (H03N).txt,3195,0.0041,clean
5200,H058,TURISMO (AZIENDE CONFESERCENTI),/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di correzione e integrazione dei testi siglati il 18 luglio 2018 (H058).txt,4771,0.0067,clean
9554,S661,CCNL per il personale non dirigente del Consiglio Nazionale dell'Economia e del Lavoro (CNEL) - parte normativa quadriennio 2006-2009 e parte economica biennio 2006-2007,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per il personale non dirigente del Consiglio Nazionale dell'Economia e del Lavoro (CNEL) - parte normativa quadriennio 2006-2009 e parte economic (S661).txt,4359,0.0055,clean
20261,H011,"Ipotesi di accordo di rinnovo del CCNL Terziario, Distribuzione e Servizi","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo CCNL Terziario, Distribuzione e Servizi (H011).txt",5553,0.0058,clean
17602,E033,Rettifica al CCNL per i dipendenti da imprese artigiane del settore alimentare e da imprese di panificazione,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Rettifica al CCNL per i dipendenti da imprese artigiane del settore alimentare e da imprese di panificazione (E033).txt,1256,0.0303,noisy
8455,H121,FARMACIE PRIVATE,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo 14 novembre 2011 ad integrazione e modifica del CCNL 26 maggio 2009 (H121).txt,6776,0.0244,noisy
20044,H04S,"CCNL settore Turismo - Pubblici esercizi, ristorazione collettiva e commerciale, alberghi, stabilimenti balneari","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL settore Turismo - Pubblici esercizi, ristorazione collettiva e commerciale, alberghi, stabilimenti balneari (H04S).txt",994,0.0312,noisy
19411,K545,Accordo interconfederale integrativo e modificativo del CCNL IGIENE AMBIENTALE del 26/07/2019,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo economico del CCNL IGIENE AMBIENTALE - Aziende Private e Municipalizzate (K545).txt,2836,0.0282,noisy
7541,H121,FARMACIE PRIVATE,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo 14 novembre 2011 ad integrazione e modifica del CCNL 26 maggio 2009 (H121).txt,6776,0.0244,noisy
18872,K574,CCNL Multiservizi,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo economico del CCNL Multiservizi (K574).txt,3064,0.0277,noisy
3796,H121,FARMACIE PRIVATE,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo 14 novembre 2011 ad integrazione e modifica del CCNL 26 maggio 2009 (H121).txt,6776,0.0244,noisy
