id_accordo,ccnl_code,titolo,txt_path,char_count,garbage_ratio,quality_bin
19570,G02G,CCNL Innovazioni,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL Innovazioni (G02G).txt,181820,0.0018,clean
12928,J267,Accordo recante la disciplina pattizia attuativa in Banca d'Italia della L.146/1990 e successive modifiche,"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo cornice in tema di contrattualizzazione del rapporto di impiego del personale della carriera operativa, dei servizi generali e di sicurezza e  (J267).txt",4369,0.0048,clean
17161,H05I,"CCNL per i lavoratori dipendenti delle imprese, anche cooperative, operanti nel settore TURISMO E PUBBLICI ESERCIZI","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i lavoratori dipendenti delle imprese, anche cooperative, operanti nel settore TURISMO E PUBBLICI ESERCIZI (H05I).txt",188464,0.0029,clean
20271,H058,Accordo di rinnovo del CCNL Turismo 4 marzo 2010,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di correzione e integrazione dei testi siglati il 18 luglio 2018 (H058).txt,4771,0.0067,clean
4706,E031,SOTTOPRODOTTI DELLA MACELLAZIONE,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/SOTTOPRODOTTI DELLA MACELLAZIONE (E031).txt,88834,0.0,clean
6442,T271,SCUOLE MATERNE NON STATALI,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo integrativo dell'accordo ponte 22 maggio 2012 relativo al CCNL FISM in vigore (T271).txt,1458,0.0055,clean
14996,E024,"CCNL per il personale comunque dipendente da aziende di panificazione anche per attività collaterali e complementari nonché da negozi di vendita al minuto di pane, generi alimentari e vari",/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Adeguamenti retributivi CCNL per il personale comunque dipendente da aziende di panificazione anche per attività collaterali e complementari nonché da (E024).txt,1082,0.0111,clean
15323,G016,Ipotesi di accordo per il rinnovo del CCNL Area Comunicazione del 25 ottobre 2010,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL Area Comunicazione - stesura sottoscritta il 18122018 (G016).txt,162076,0.0022,clean
1986,B375,GOMMA E PLASTICA: P.M.I.,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Verbale di Accordo CCNL PMI Plastica e Gomma (B375).txt,31930,0.0095,clean
5192,S651,UNIONCAMERE,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL del personale non dirigente dell'UNIONCAMERE quadriennio normativo 2006-2009 e biennio economico 2006-2007 (S651).txt,61715,0.0046,clean
18901,J251,Verbale di accordo per la sospensione dei termini al 31 dicembre 2018 dei CCNL 31 marzo 2015 (quadri direttivi e aree professionali) e 13 luglio 2015 (dirigenti),"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 29 febbraio 2012 di proroga del CCNL del 10 gennaio 2008 per i dirigenti dipendenti dalle imprese creditizie, finanziarie e strumentali (J251).txt",9364,0.0041,clean
6143,E015,ALIMENTARISTI: Artigiane,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/ALIMENTARISTI Artigiane (E015).txt,144309,0.0,clean
18129,H536,"CCNL per i lavoratori dipendenti dalle imprese del settore acconciatura, estetica, tricologia non curativa, tatuaggi, piercing e centri benessere","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i lavoratori dipendenti dalle imprese del settore acconciatura, estetica, tricologia non curativa, tatuaggi, piercing e centri benessere (H536).txt",246792,0.0012,clean
7166,D231,"GIOCATTOLI, MODELLISMO ... : Industrie",/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo del CCNL 15 luglio 2010 (D231).txt,36570,0.0054,clean
