id_accordo,ccnl_code,titolo,txt_path,char_count,garbage_ratio,quality_bin
21010,V925,CCNL per i lavoratori dipendenti delle Associazioni Sindacali e degli Enti ad esse correlati,"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Verbale integrativo del CCNL per i lavoratori dipendenti delle Organizzazioni Sindacali Nazionali e Territoriali, di rappresentanza e di categoria del (V925).txt",3166,0.0054,clean
21003,H16C,Accordo interconfederale per la modifica dell'art. 113 del CCNL intersettoriale con codice CNEL H16C,"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo interconfederale per disciplinare la contribuzione del fondo di assistenza sanitario, in sigla Innova Care (H16C).txt",2797,0.0004,clean
20998,K595,"Accordo di rinnovo CCNL per i soci e i dipendenti delle cooperative esercenti servizi di rifacimento camere, pulizie, facchinaggio e manutenzione delle strutture ricettive turistico-alberghiere","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL di facility management per le imprese e i lavoratori dipendenti delle Cooperative esercenti servizi di rifacimento camere, pulizia, facchinaggio  (K595).txt",202856,0.0022,clean
20992,F08N,CCNL per i lavoratori impegnati nel settore edilizia e affini,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i lavoratori dipendenti da imprese artigiane edili e affini (F08N).txt,298995,0.0024,clean
20997,H076,"CCNL per il personale dipendente da imprese, enti e associazioni del settore sportivo e del benessere","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per il personale dipendente da imprese, enti e associazioni del settore sportivo e del benessere (H076).txt",204816,0.0012,clean
20993,G02G,"CCNL per i dipendenti dei servizi innovativi, dell'informatica, aziende editoriali e delle comunicazioni grafiche",/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL Innovazioni (G02G).txt,181820,0.0018,clean
20994,H44D,CCNL per i dipendenti degli studi professionali,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i dipendenti degli studi professionali (H44D).txt,220672,0.0017,clean
20984,C05A,Accordo integrativo al CCNL per i dipendenti del settore Metalmeccanica - Industria - Installazione impianti,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo integrativo al CCNL per i dipendenti del settore Metalmeccanica - Industria - Installazione impianti (C05A).txt,5719,0.0759,noisy
20976,S225,CCNL dell'Area Sanità - triennio 2022-2024,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL dell'Area Sanità (S225).txt,394223,0.0057,clean
20975,S003,CCNL del personale dell'area Presidenza del Consiglio dei Ministri relativo al triennio 2019-2021,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/AREA VIII Dirigenti (Presidenza Consiglio Ministri) (S003).txt,168248,0.0001,clean
20985,E012,Disposizioni specifiche per gli addetti all'industria olearia e margariniera del CCNL dell'industria alimentare,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/ALIMENTARISTI Industrie (E012).txt,451179,0.0002,clean
21015,V25B,CCNL Formazione Sicurezza e Macchine Industriali (FSMI),/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per la Formazione Sicurezza e Macchine Industriali (FSMI) (V25B).txt,158876,0.0045,clean
20973,S105,CCNL relativo al personale del Comparto Funzioni Locali triennio 2022-2024,"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo tra l'Aran, le confederazioni rappresentative nei comparti di contrattazione e la FNSI per la specifica regolazione di raccordo del personale  (S105).txt",12527,0.02,noisy
20974,S125,CCNL relativo al personale dell'area delle Funzioni Locali triennio 2022-2024,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL relativo al personale dell'area delle Funzioni Locali triennio 2022-2024 (S125).txt,271224,0.0055,clean
20996,H50S,CCNL sulla disciplina del rapporto di lavoro domestico - Testo coordinato con le modifiche introdotte dall'Accordo integrativo del 18/02/2026,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo integrativo al CCNL sulla disciplina del rapporto di lavoro domestico (H50S).txt,31579,0.0046,clean
20995,H50S,Accordo integrativo al CCNL sulla disciplina del rapporto di lavoro domestico,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo integrativo al CCNL sulla disciplina del rapporto di lavoro domestico (H50S).txt,31579,0.0046,clean
20969,I241,"Accordo di rinnovo del CCNL 31 maggio 2023 per i dirigenti delle imprese di logistica, magazzini generali, terminal operators portuali, interportuali ed aeroportuali","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo Ponte CCNL 21 luglio 1995 e successive modifiche per i dirigenti delle imprese di logistica, magazzini generali, terminal operators portuali,  (I241).txt",2379,0.0164,clean
20957,H02X,"Verbale integrativo al CCNL Commercio, Terziario e Servizi","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL Commercio, Terziario e Servizi (H02X).txt",204593,0.0038,clean
20987,H02L,"CCNL per i dipendenti dei settori del Commercio, Terziario, Servizi e Pubblici Esercizi","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i dipendenti da aziende del settore del Commercio, Terziario e Servizi (H02L).txt",699664,0.002,clean
20989,H05E,"CCNL per i dipendenti dei settori del turismo, ospitalità e pubblici esercizi",/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/ESAARCO CCNL per i dipendenti delle aziende del settore turismo (H05E).txt,569994,0.0042,clean
20988,I160,"CCNL per i dipendenti dei settori logistica, trasporto merci, spedizioni, della distribuzione e dei servizi logistici integrati","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/ESAARCO CCNL per i dipendenti da imprese di spedizione, autotrasporto merci e logistica (I160).txt",309674,0.0041,clean
20948,D11A,Accordo integrativo e di rinnovo al CCNL per i dipendenti delle Aziende Artigiane del Settore Pelletteria,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo integrativo al CCNL per i dipendenti delle Aziende Artigiane del Settore Pelletteria (D11A).txt,85404,0.0039,clean
20949,D11A,CCNL per i dipendenti delle Aziende Artigiane del Settore Pelletteria - Testo coordinato con le modifiche introdotte dall'accordo integrativo e di rinnovo del 03/02/2026,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo integrativo al CCNL per i dipendenti delle Aziende Artigiane del Settore Pelletteria (D11A).txt,85404,0.0039,clean
20943,C058,Accordo di rinnovo del CCNL per le aziende metalmeccaniche private e di installazione impianti,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo del CCNL per le aziende metalmeccaniche private e di installazione impianti (C058).txt,12934,0.0094,clean
20944,C058,CCNL per le aziende metalmeccaniche private e di installazione impianti - Testo coordinato con le modifiche introdotte dall'accordo di rinnovo del 02/02/2026,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo del CCNL per le aziende metalmeccaniche private e di installazione impianti (C058).txt,12934,0.0094,clean
20946,V167,CCNL per i dipendenti da Aziende esercenti attività dell'Artigianato e Piccole e Medie Industrie,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i dipendenti da Aziende esercenti attività dell'Artigianato e Piccole e Medie Industrie (V167).txt,297545,0.0062,clean
20940,E071,Verbale di accordo per la definizione del contributo complessivo al sistema di bilateralità,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per il personale imbarcato sulle navi adibite alla pesca marittima (E071).txt,137596,0.0058,clean
20945,K51F,"Accordo integrativo del CCNL per i lavoratori ed impiegati delle imprese operanti nel settore dei servizi di pulizia, multiservizi e attività affini","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i lavoratori ed impiegati delle imprese operanti nel settore dei servizi di pulizia, multiservizi e attività affini (K51F).txt",288634,0.0022,clean
20942,H01H,"Verbale di accordo modificativo del CCNL per i dipendenti del terziario: attività collaterali al commercio, distribuzione e servizi anche in forma cooperativa","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i dipendenti del terziario attività collaterali al commercio, distribuzione e servizi anche in forma cooperativa (H01H).txt",166302,0.0012,clean
20952,K601,5° CCNL del personale non dirigente della Sport e Salute e delle Federazioni Sportive Nazionali,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/2° CCNL del personale non dirigente della CONI SERVIZI SPA e delle Federazioni sportive nazionali (K601).txt,230315,0.0055,clean
20941,T19H,Verbale di accordo di modifica del CCNL per i dipendenti delle Associazioni ed altre Organizzazioni del Terzo Settore,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i dipendenti delle Associazioni ed altre Organizzazioni del Terzo Settore (T19H).txt,109798,0.002,clean
20970,H402,Rinnovo del CCNL per i dipendenti da proprietari di fabbricati,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i dipendenti da proprietari di fabbricati (H402).txt,42059,0.0059,clean
20965,H682,"Accordo integrativo nazionale del CCNL per i dirigenti, quadri, impiegati ed operai dei servizi di marketing operativo in vigore dal 01 gennaio 2025 al 31 dicembre 2027, in materia di trattamento di fine rapporto per i lavoratori intermittenti",/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i dipendenti di aziende e cooperative esercenti attività nel settore del MARKETING (H682).txt,410920,0.0063,clean
20977,V719,Verbale di accordo sul rinnovo del CCNL Servizi Ausiliari Integrati del 29/10/2021,"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo interconfederale welfare aziendale e premi di risultato CCNL Servizi Ausiliari alle Collettività, alle Aziende e alle Persone (V719).txt",4448,0.0117,clean
20924,G099,Accordo sul Rinnovo del CCNL per i lavoratori amministrativi e tecnici delle imprese radiotelevisive locali,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo sul Rinnovo del CCNL per i lavoratori amministrativi e tecnici delle imprese radiotelevisive locali (G099).txt,91558,0.0041,clean
20922,T111,"Verbale di accordo integrativo del CCNL AGIDAE per istituti Socio-Sanitari, Assistenziali, Educativi 2023/2025",/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo sindacale (T111).txt,1801,0.0039,clean
