Year,Agreement_Type,Source_URL,Main_Title,Issued by,Date of Issue,Decision number,Date of entry into force of collective agreement,Expiry date of collective agreement,Date of signature of collective agreement,General applicability,Employer side,Employee side,PDF_1,PDF_2,PDF_3,PDF_4,PDF_5,PDF_6,PDF_7,Comments
2001,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2001/18,Kollektivavtal för busspersonalen,Committee for Confirming the General Applicability of Collective Agreements,30.10.2001,18/2001,26.2.2025,31.1.2028,10.3.2025,Kollektivavtalet är allmänt bindande,Biltrafikens Arbetsgivareförbund rf,Bil- och Transportbranschens Arbetareförbund rf,LinjauthStmRuotsi2502.pdf,LinjauthStmRuotsi2303.pdf,LinjauthStmRuotsi2102.pdf,,,,,
2001,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2001/19,Kollektivavtal för målningsbranschen inklusive entreprenadprissättning,Committee for Confirming the General Applicability of Collective Agreements,30.10.2001,19/2001,1.3.2025,29.2.2028,7.5.2025,Kollektivavtalet är allmänt bindande,Finlands Målarmästareförbund rf,Byggnadsförbundet rf,MaalausalaStmRuotsi2503.pdf,MaalausalaStmRuotsi2303.pdf,MaalausalaStmRuotsi2203.pdf,,,,,
2001,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2001/26,Apteekkien työntekijöiden työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,4.12.2001,26/2001,28.5.2025,30.4.2028,28.5.2025,Työehtosopimus on yleissitova,Palvelualojen työnantajat PALTA ry,Palvelualojen ammattiliitto PAM ry,Apteek2505.pdf,Apteek2305.pdf,Apteek2205.pdf,,,,,
2001,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2001/27,Farmaseuttisen henkilöstön työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,4.12.2001,27/2001,7.3.2025,31.1.2028,16.3.2025,Työehtosopimus on yleissitova,Palvelualojen työnantajat PALTA ry,Suomen Farmasialiitto ry,Farmas2503.pdf,Farmas2302.pdf,Farmas2202.pdf,,,,,
2001,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2001/33,Terminaalitoimintaa koskeva työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,4.12.2001,33/2001,26.2.2025,31.1.2028,10.3.2025,Työehtosopimus on yleissitova,Autoliikenteen Työnantajaliitto ry,Auto- ja Kuljetusalan Työntekijäliitto AKT ry,Terminaalitoiminta2502.pdf,Terminaalitoiminta2302.pdf,Terminaalitoiminta2102.pdf,,,,,
2001,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2001/36,Kollektivavtal för vattenisoleringsbranschen,Committee for Confirming the General Applicability of Collective Agreements,4.12.2001,36/2001,1.3.2025,29.2.2028,1.3.2025,Kollektivavtalet är allmänt bindande,Takförbundet rf,Byggnadsförbundet rf,VedenristysStmRuotsi22503.pdf,VedenristysStmRuotsi12503.pdf,VedenristysStmRuotsi22303.pdf,VedenristysStmRuotsi12303.pdf,VedenristysStmRuotsi22203.pdf,VedenristysStmRuotsi12203.pdf,,
2001,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2001/40,Pappersindustrins kollektivavtal,Committee for Confirming the General Applicability of Collective Agreements,18.12.2001,40/2001,10.2.2020,31.12.2021,10.2.2020,Kollektivavtalet är allmänt bindande,Skogsindustrin rf,Pappersförbundet rf,TT57Papetytruotssstmkielenk2002.pdf,TT57Papetytruotssstmkielenk1711.pdf,,,,,,
2001,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2001/41,Kollektivavtal gällande arbetstagare i pappers- och trämassaindustrins elbransch,Committee for Confirming the General Applicability of Collective Agreements,18.12.2001,41/2001,10.2.2020,31.12.2021,10.2.2020,Kollektivavtalet är allmänt bindande,Skogsindustrin rf,Elbranschernas fackförbund rf,TT55Papuusahruotsstmkielenk2002.pdf,TT55Papuusahruotsstmkielenk1711.pdf,,,,,,
2001,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2001/51,Kollektivavtal för livsmedelsbranscherna,Committee for Confirming the General Applicability of Collective Agreements,18.12.2001,51/2001,14.4.2025,31.1.2028,14.4.2025,Kollektivavtalet är allmänt bindande,Livsmedelsindustriförbundet rf,Finlands Livsmedelsarbetareförbund SEL rf,ElintarvStmRuotsi2504.pdf,ElintarvStmRuotsi2302.pdf,ElintarvStmRuotsi2102.pdf,,,,,
2001,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2001/53,Kollektivavtal för köttbranschen mellan Finlands Livsmedelsindustriförbund rf och Finlands Livsmedelsarbetareförbund SEL rf,Committee for Confirming the General Applicability of Collective Agreements,18.12.2001,53/2001,14.4.2025,31.1.2028,14.4.2025,Kollektivavtalet är allmänt bindande,Livsmedelsindustriförbundet rf,Finlands Livsmedelsarbetareförbund SEL rf,Liha-alaStmRuotsi2504.pdf,Liha-alaStmRuotsi2302.pdf,Liha-alaStmRuotsi2102.pdf,,,,,
