CCNL CNEL idfk,id accordo,Titolo,Contraenti,Stipula,Decorrenza,Scadenza Contrattuale,Data Deposito,Tipo Arrivo,Tipologia Accordo,local_txt_path
V925,21010,CCNL per i lavoratori dipendenti delle Associazioni Sindacali e degli Enti ad esse correlati,UNSIC; ASNALI; CONFSAL; SNALV CONFSAL; CONFIAL,3/26/26,1/1/26,12/31/28,3/30/26 0:00,Depositato,Testo definitivo,"txts/Verbale integrativo del CCNL per i lavoratori dipendenti delle Organizzazioni Sindacali Nazionali e Territoriali, di rappresentanza e di categoria del (V925).txt"
H16C,21003,Accordo interconfederale per la modifica dell'art. 113 del CCNL intersettoriale con codice CNEL H16C,CONFAZIENDE PMI; CONFENALP,3/23/26,3/23/26,,3/24/26 0:00,Depositato,Verbale integrativo,"txts/Accordo interconfederale per disciplinare la contribuzione del fondo di assistenza sanitario, in sigla Innova Care (H16C).txt"
IB22,21001,Verbale di accordo per il rinnovo della parte economica del CCNL per i lavoratori delle imprese esercenti attività cimiteriali e servizi funebri,FMPI; CONFINTESA; CONFINTESA SANITA',3/12/26,1/1/26,,3/20/26 0:00,Depositato,Accordo economico,MISSING
K595,20998,"Accordo di rinnovo CCNL per i soci e i dipendenti delle cooperative esercenti servizi di rifacimento camere, pulizie, facchinaggio e manutenzione delle strutture ricettive turistico-alberghiere",UNICOOP; UGL TERZIARIO,3/12/26,3/1/26,3/1/29,3/13/26 0:00,Depositato,Accordo di rinnovo,"txts/CCNL di facility management per le imprese e i lavoratori dipendenti delle Cooperative esercenti servizi di rifacimento camere, pulizia, facchinaggio  (K595).txt"
F08N,20992,CCNL per i lavoratori impegnati nel settore edilizia e affini,CNL; CIU UNIONQUADRI,3/5/26,2/12/26,2/11/29,3/12/26 0:00,Depositato,Testo definitivo,txts/CCNL per i lavoratori dipendenti da imprese artigiane edili e affini (F08N).txt
H076,20997,"CCNL per il personale dipendente da imprese, enti e associazioni del settore sportivo e del benessere",CNL; CIU UNIONQUADRI,3/5/26,2/12/26,2/11/29,3/12/26 0:00,Depositato,Testo definitivo,"txts/CCNL per il personale dipendente da imprese, enti e associazioni del settore sportivo e del benessere (H076).txt"
G02G,20993,"CCNL per i dipendenti dei servizi innovativi, dell'informatica, aziende editoriali e delle comunicazioni grafiche",CNL; CIU UNIONQUADRI,3/5/26,2/12/26,2/11/29,3/12/26 0:00,Depositato,Testo definitivo,txts/CCNL Innovazioni (G02G).txt
H44D,20994,CCNL per i dipendenti degli studi professionali,CNL; CIU UNIONQUADRI,3/5/26,2/12/26,2/11/29,3/12/26 0:00,Depositato,Testo definitivo,txts/CCNL per i dipendenti degli studi professionali (H44D).txt
C05A,20984,Accordo integrativo al CCNL per i dipendenti del settore Metalmeccanica - Industria - Installazione impianti,CONAPI; CONFINTESA,3/4/26,,,3/4/26 0:00,Depositato,Verbale integrativo,txts/Accordo integrativo al CCNL per i dipendenti del settore Metalmeccanica - Industria - Installazione impianti (C05A).txt
S225,20976,CCNL dell'Area Sanità - triennio 2022-2024,ARAN; ANAAO ASSOMED; COSMED; CIMO FESMED; CIDA; AAROI EMAC; COSMED; FASSID; CODIRP; FVM; COSMED; UIL FPL; UIL; CISL MEDICI; CISL,2/27/26,1/1/22,12/31/24,2/27/26 0:00,Acquisito,Testo definitivo,txts/CCNL dell'Area Sanità (S225).txt
