codigo,denominacion,tipo_tramite,autoridad_laboral,vigencia_desde,vigencia_hasta,detalle_url,pdf_url,pdf_saved_as
11100131012015,"SERVICIO DE EMERGENCIAS MÉDICAS Y URGENCIAS,S.L.",PROMOCIÓN DE NEGOCIACIÓN,Cádiz,26/03/2024,01/01/2015,,,
71103602012024,UNEI Iniciativa Social S.L.U.,PROMOCIÓN DE NEGOCIACIÓN,Andalucía,02/03/2023,01/01/2023,,,
36001155011981,SIDEROMETALURGICAS (Industrias del metal sin convenio propio),PROMOCIÓN DE NEGOCIACIÓN,Pontevedra,27/02/2023,01/01/2020,,,
,Confederación Empresarial de Ourense,PROMOCIÓN DE NEGOCIACIÓN (SIN CÓD. PREVIO),Ourense,17/02/2023,,,,
,Convenio colectivo provincial para empresas de Reinserción Socio-laboral de[..],PROMOCIÓN DE NEGOCIACIÓN (SIN CÓD. PREVIO),Navarra,10/02/2023,,,,
82000882012006,FUNDACION SAN ROSENDO,PROMOCIÓN DE NEGOCIACIÓN,Galicia,06/02/2023,01/01/2016,,,
,MERCEDES-BENZ RETAIL S.A.U.,PROMOCIÓN DE NEGOCIACIÓN (SIN CÓD. PREVIO),Madrid,03/02/2023,,,,
90121882112023,PLAN DE IGUALDAD DE OPORTUNIDADES ENTRE MUJERES Y HOMBRES AMBUIBERICA S.L.U[..],PLAN DE IGUALDAD ACORDADO CON LOS REPRESENTANTES DE LAS PERSONAS TRABAJADORAS,Estatal,31/01/2023,23/03/2022,,,
90121893112023,GRUPO CARBO COLLBATALLE,PLAN DE IGUALDAD ACORDADO CON LOS REPRESENTANTES DE LAS PERSONAS TRABAJADORAS,Estatal,31/01/2023,21/07/2022,,,
90121872112023,IRIS GLOBAL SOLUCIONES S.L.,PLAN DE IGUALDAD ACORDADO CON LOS REPRESENTANTES DE LAS PERSONAS TRABAJADORAS,Estatal,31/01/2023,30/09/2022,,,
