codigo,denominacion,naturaleza,autoridad_laboral,estado_vigencia,pdf_saved_as
41101121012021,SOCIEDAD DE FOMENTO AGRICOLA CASTELLONENSE S.A.,CONVENIO COLECTIVO,Sevilla,,/Users/lukeschreiber/Downloads/RA Work/Collective-Bargaining-Agreements-Web-Scraping/spain_data/pdfs/41101121012021.pdf
43002462012001,"ASOCIACION NUCLEAR ASCO-VANDELLOS II, AIE",CONVENIO COLECTIVO,Tarragona,,/Users/lukeschreiber/Downloads/RA Work/Collective-Bargaining-Agreements-Web-Scraping/spain_data/pdfs/43002462012001.pdf
43002072012000,Consorci d'Aigües de Tarragona,CONVENIO COLECTIVO,Tarragona,,/Users/lukeschreiber/Downloads/RA Work/Collective-Bargaining-Agreements-Web-Scraping/spain_data/pdfs/43002072012000.pdf
47000892011991,"ARROYO, S.A.",CONVENIO COLECTIVO,Valladolid,,/Users/lukeschreiber/Downloads/RA Work/Collective-Bargaining-Agreements-Web-Scraping/spain_data/pdfs/47000892011991.pdf
47000582011981,VALLADOLID AUTOMOVIL S.A. (VASA),CONVENIO COLECTIVO,Valladolid,,/Users/lukeschreiber/Downloads/RA Work/Collective-Bargaining-Agreements-Web-Scraping/spain_data/pdfs/47000582011981.pdf
52100185012019,CONVENIO COLECTIVO SECTORIAL PARA EL TRANSPORTE DE ENFERMOS Y ACCIDENTADOS EN AMBULANCIAS DE LA CIUDAD AUTÓNOMA DE MELILLA,CONVENIO COLECTIVO,Melilla,,/Users/lukeschreiber/Downloads/RA Work/Collective-Bargaining-Agreements-Web-Scraping/spain_data/pdfs/52100185012019.pdf
33100771012024,ELECTRONIC TRAFIC S.A.,CONVENIO COLECTIVO,Asturias,,/Users/lukeschreiber/Downloads/RA Work/Collective-Bargaining-Agreements-Web-Scraping/spain_data/pdfs/33100771012024.pdf
90002472011982,"HERMANDAD FARMACEUTICA DEL MEDITERRANEO, SOCIEDAD COOP. LIMITADA",CONVENIO COLECTIVO,Estatal,,/Users/lukeschreiber/Downloads/RA Work/Collective-Bargaining-Agreements-Web-Scraping/spain_data/pdfs/90002472011982.pdf
36002642011995,TRATAMIENTO INDUSTRIAL DE AGUAS SA (TRAINASA),CONVENIO COLECTIVO,Pontevedra,,/Users/lukeschreiber/Downloads/RA Work/Collective-Bargaining-Agreements-Web-Scraping/spain_data/pdfs/36002642011995.pdf
36104940012017,"DALPHIMETAL ESPAÑA, S.L.U. - CENTRO DE TRABAJO DE O PORRIÑO",CONVENIO COLECTIVO,Pontevedra,,/Users/lukeschreiber/Downloads/RA Work/Collective-Bargaining-Agreements-Web-Scraping/spain_data/pdfs/36104940012017.pdf
