codigo,denominacion,naturaleza,autoridad_laboral,estado_vigencia,pdf_link
41101121012021,SOCIEDAD DE FOMENTO AGRICOLA CASTELLONENSE S.A.,CONVENIO COLECTIVO,Sevilla,,https://bopsevilla.dipusevilla.es/export/sites/bop/.galleries/Documentos-Anuncios-en-PDF/firmado-1719270081159-final-6af90110-1.pdf
43002462012001,"ASOCIACION NUCLEAR ASCO-VANDELLOS II, AIE",CONVENIO COLECTIVO,Tarragona,,https://www.diputaciodetarragona.cat/ebop/index.php?op=dwn&tipus=i&data=20240626&anyp=2024&num=05455&v=i
43002072012000,Consorci d'Aigües de Tarragona,CONVENIO COLECTIVO,Tarragona,,https://www.diputaciodetarragona.cat/ebop/index.php?op=dwn&tipus=i&data=20240625&anyp=2024&num=05394&v=i
47000892011991,"ARROYO, S.A.",CONVENIO COLECTIVO,Valladolid,,https://bop.sede.diputaciondevalladolid.es/boletines/2024/junio/25/BOPVA-A-2024-02420.pdf
47000582011981,VALLADOLID AUTOMOVIL S.A. (VASA),CONVENIO COLECTIVO,Valladolid,,https://bop.sede.diputaciondevalladolid.es/boletines/2024/junio/25/BOPVA-A-2024-02419.pdf
52100185012019,CONVENIO COLECTIVO SECTORIAL PARA EL TRANSPORTE DE ENFERMOS Y ACCIDENTADOS EN AMBULANCIAS DE LA CIUDAD AUTÓNOMA DE MELILLA,CONVENIO COLECTIVO,Melilla,,https://bomemelilla.es/bome/BOME-B-2024-6184
33100771012024,ELECTRONIC TRAFIC S.A.,CONVENIO COLECTIVO,Asturias,,https://sede.asturias.es/bopa/2024/06/26/2024-05238.pdf
90002472011982,"HERMANDAD FARMACEUTICA DEL MEDITERRANEO, SOCIEDAD COOP. LIMITADA",CONVENIO COLECTIVO,Estatal,,https://www.boe.es/boe/dias/2024/06/25/pdfs/BOE-A-2024-12848.pdf
36002642011995,TRATAMIENTO INDUSTRIAL DE AGUAS SA (TRAINASA),CONVENIO COLECTIVO,Pontevedra,,https://boppo.depo.gal/web/boppo/detalle/-/boppo/2024/06/27/2024044287
36104940012017,"DALPHIMETAL ESPAÑA, S.L.U. - CENTRO DE TRABAJO DE O PORRIÑO",CONVENIO COLECTIVO,Pontevedra,,https://boppo.depo.gal/web/boppo/detalle/-/boppo/2024/06/27/2024044274
